Code,Name,Market,현금배당수익률(%)_당기,주당 현금배당금(원)
000860,강남제비스코,KOSPI,2.42,500
088790,진도,KOSPI,2.41,50
058630,엠게임,KOSDAQ,2.4,150
142210,유니트론텍,KOSDAQ,2.4,100
163560,동일고무벨트,KOSPI,2.4,150
021240,코웨이,KOSPI,2.4,1350
001630,종근당홀딩스,KOSPI,2.4,1400
131090,시큐브,KOSDAQ,2.4,25
095610,테스,KOSDAQ GLOBAL,2.4,500
088130,동아엘텍,KOSDAQ,2.4,150
122310,제노레이,KOSDAQ,2.4,160
280360,롯데웰푸드,KOSPI,2.4,3000
010470,오리콤,KOSDAQ,2.4,270
005490,POSCO홀딩스,KOSPI,2.4,10000
092300,현우산업,KOSDAQ,2.4,100
003310,대주산업,KOSDAQ,2.4,42
100700,세운메디칼,KOSDAQ,2.4,70
054050,농우바이오,KOSDAQ,2.4,200
002870,신풍,KOSPI,2.4,20
049770,동원F&B,KOSPI,2.4,800
010950,S-Oil,KOSPI,2.4,1700
002320,한진,KOSPI,2.4,600
053260,금강철강,KOSDAQ,2.4,130
084110,휴온스글로벌,KOSDAQ,2.39,525
139480,이마트,KOSPI,2.39,2000
013520,화승코퍼레이션,KOSPI,2.36,50
060380,동양에스텍,KOSDAQ,2.36,50
017900,광전자,KOSPI,2.36,50
058730,다스코,KOSPI,2.35,100
054540,삼영엠텍,KOSDAQ,2.34,100
419120,산돌,KOSDAQ,2.33,180
000910,유니온,KOSPI,2.32,125
042500,링네트,KOSDAQ,2.31,100
005300,롯데칠성,KOSPI,2.3,3400
007310,오뚜기,KOSPI,2.3,9000
006090,사조오양,KOSPI,2.3,200
214370,케어젠,KOSDAQ,2.3,640
075970,동국알앤에스,KOSDAQ,2.3,80
054930,유신,KOSDAQ,2.3,750
250000,보라티알,KOSDAQ,2.3,250
014830,유니드,KOSPI,2.3,1600
016380,KG스틸,KOSPI,2.3,200
013310,아진산업,KOSDAQ,2.29,100
039010,현대에이치티,KOSDAQ,2.29,130
260660,알리코제약,KOSDAQ,2.26,130
105630,한세실업,KOSPI,2.26,500
004170,신세계,KOSPI,2.26,4000
012280,영화금속,KOSPI,2.26,20
011170,롯데케미칼,KOSPI,2.25,3500
298540,더네이쳐홀딩스,KOSDAQ,2.25,400
